ANIO,CCDD,CCPP,CCDI,CONGLOMERADO,NSELUA,UA,costo_total,produccion_kg,costo_por_kg,FACTOR_PRODUCTOR,es_outlier
2021,13,04,02,06985,00012,2,115.0,350.0,0.32857142857142857,104.719230769231,0
2021,13,04,02,06985,00051,8,925.0,4500.0,0.20555555555555555,104.719230769231,0
2021,13,04,02,06985,00079,12,39.0,250.0,0.156,104.719230769231,0
2021,13,07,02,07032,00018,3,4.0,24.0,0.16666666666666666,97.2392857142857,0
2021,13,07,05,07036,00036,7,1.0,25.0,0.04,97.2392857142857,0
2021,13,02,06,07056,00139,14,1.0,9.0,0.1111111111111111,97.2392857142857,0
2021,13,02,02,07081,00001,1,13950.0,45000.0,0.31,97.2392857142857,0
2021,13,02,02,07081,00013,3,18.0,20.0,0.9,97.2392857142857,1
2021,13,02,02,07081,00016,4,46.0,200.0,0.23,97.2392857142857,0
2021,13,02,02,07081,00026,5,9.0,60.0,0.15,97.2392857142857,0
2021,13,02,02,07081,00072,9,11.0,60.0,0.18333333333333332,97.2392857142857,0
2021,13,02,03,07091,00012,2,80.0,360.0,0.2222222222222222,97.2392857142857,0
2021,13,02,03,07091,00053,6,1.0,27.0,0.037037037037037035,97.2392857142857,0
2021,13,02,03,07091,00066,8,28.0,144.0,0.19444444444444445,97.2392857142857,0
2021,13,02,03,07091,00098,12,24.0,240.0,0.1,97.2392857142857,0
2021,13,02,04,07094,00125,14,2.0,70.0,0.02857142857142857,104.719230769231,0
2021,13,11,02,07133,00021,3,32.0,192.5,0.16623376623376623,94.2802197802198,0
2021,13,11,02,07133,00077,8,8.0,48.0,0.16666666666666666,94.2802197802198,0
2021,13,11,02,07133,00096,10,4.0,120.0,0.03333333333333333,94.2802197802198,0
2021,13,11,02,07142,00034,4,10.0,117.0,0.08547008547008547,94.2802197802198,0
2021,13,11,02,07142,00058,7,2.0,25.0,0.08,94.2802197802198,0
2021,13,11,02,07142,00064,8,2.0,4.0,0.5,94.2802197802198,1
2021,13,11,02,07142,00097,13,1.0,3.0,0.3333333333333333,94.2802197802198,0
2021,13,11,02,07142,00106,14,6.0,14.0,0.42857142857142855,94.2802197802198,0
2021,13,11,04,07153,00061,9,265.0,3500.0,0.07571428571428572,94.2802197802198,0
2021,13,11,04,07153,00070,10,2.0,75.0,0.02666666666666667,94.2802197802198,0
2021,13,11,04,07153,00089,12,4.0,83.0,0.04819277108433735,94.2802197802198,0
2021,13,11,04,07153,00097,13,25.0,1600.0,0.015625,94.2802197802198,0
2021,13,11,04,07153,00099,14,5.0,65.0,0.07692307692307693,94.2802197802198,0
2021,13,06,04,07262,00028,4,25.0,66.0,0.3787878787878788,94.2802197802198,0
2021,13,06,04,07262,00041,6,140.0,300.0,0.4666666666666667,94.2802197802198,1
2021,13,06,04,07262,00073,10,900.0,4480.0,0.20089285714285715,94.2802197802198,0
2021,13,06,04,07262,00075,11,280.0,250.0,1.12,94.2802197802198,1
2021,13,06,05,07287,00014,2,3.0,30.0,0.1,94.2802197802198,0
