ANIO,CCDD,CCPP,CCDI,NSEGM,ID_PROD,UA,costo_total,produccion_kg,costo_por_kg,FACTOR_PRODUCTOR,es_outlier
2024,13,12,02,13247,01,01,1190.0,800.0,1.4875,17.45414,0
2024,13,12,02,13250,02,02,2360.0,2000.0,1.18,157.0376,0
2024,13,12,01,13256,05,05,260.0,150.0,1.7333333333333334,45.11985,1
2024,13,12,01,13257,01,01,38000.0,82000.0,0.4634146341463415,3.896744,0
2024,13,12,01,13257,02,02,30000.0,49500.0,0.6060606060606061,2.453752,0
2024,13,12,01,13257,03,03,16500.0,45000.0,0.36666666666666664,0.3283362,0
2024,13,12,01,13257,04,04,22500.0,38000.0,0.5921052631578947,2.425455,0
2024,13,12,01,13260,01,01,45000.0,70000.0,0.6428571428571429,31.07281,0
2024,13,12,01,13260,02,02,5000.0,10000.0,0.5,13.65267,0
2024,13,12,01,13262,03,03,2200.0,30500.0,0.07213114754098361,2.838606,0
2024,13,12,01,13263,01,01,10500.0,80000.0,0.13125,26.69396,0
2024,13,12,01,13266,03,03,3548.0,35000.0,0.10137142857142857,90.01244,0
2024,13,11,04,13279,01,01,413.0,90.0,4.588888888888889,4.681368,1
2024,13,11,04,13279,04,04,620.0,900.0,0.6888888888888889,48.43314,0
2024,13,11,04,13279,08,08,800.0,7500.0,0.10666666666666667,81.40559,0
2024,13,11,04,13279,09,09,300.0,3150.0,0.09523809523809523,38.21058,0
2024,13,11,04,13283,01,01,2900.0,13950.0,0.2078853046594982,27.35352,0
2024,13,11,01,13289,03,03,6.0,9.0,0.6666666666666666,295.4108,0
2024,13,11,01,13296,02,02,35.0,300.0,0.11666666666666667,13.7476,0
2024,13,10,08,13309,03,03,80.0,250.0,0.32,15.45157,0
2024,13,10,08,13312,06,06,80.0,1585.0,0.050473186119873815,0.7068158,0
2024,13,10,01,13357,01,01,688.0,2620.0,0.26259541984732826,0.0805045,0
2024,13,09,08,13360,06,06,55.0,100.0,0.55,35.95516,0
2024,13,09,06,13378,01,01,60.0,800.0,0.075,1.462344,0
2024,13,09,06,13378,02,02,50.0,1350.0,0.037037037037037035,0.8510705,0
2024,13,09,06,13379,01,01,50.0,200.0,0.25,0.0075028,0
2024,13,09,06,13379,02,02,600.0,720.0,0.8333333333333334,0.0008245,0
2024,13,09,03,13389,04,04,63.0,50.0,1.26,247.0744,0
2024,13,09,03,13390,01,01,35000.0,98100.0,0.3567787971457696,74.06445,0
2024,13,09,03,13390,02,02,5000.0,20100.0,0.24875621890547264,1016.132,0
2024,13,09,03,13392,01,01,100.0,57.5,1.7391304347826086,10.47884,1
2024,13,09,03,13393,01,01,43.0,250.0,0.172,25.72397,0
2024,13,09,03,13394,01,01,590.0,1176.0,0.5017006802721088,56.3028,0
2024,13,09,03,13394,02,02,75.0,325.0,0.23076923076923078,764.5052,0
2024,13,09,03,13396,02,02,300.0,2400.0,0.125,1.320895,0
2024,13,09,03,13396,03,03,50.0,150.0,0.3333333333333333,3.548587,0
2024,13,09,03,13396,04,04,110.0,180.0,0.6111111111111112,2.381248,0
2024,13,09,03,13397,01,01,425.0,1300.0,0.3269230769230769,42.25999,0
2024,13,08,11,13427,02,02,40.0,250.0,0.16,0.2837367,0
2024,13,08,06,13441,01,01,120.0,350.0,0.34285714285714286,49.35795,0
2024,13,06,14,13487,05,05,107.0,120.0,0.8916666666666667,87.21671,0
2024,13,06,14,13490,01,01,70.0,50.0,1.4,366.7911,0
2024,13,06,14,13490,02,02,200.0,145.0,1.3793103448275863,278.904,0
2024,13,06,13,13496,01,01,100.0,1300.0,0.07692307692307693,0.6443184,0
