real,predicho,probabilidad_riesgo
0,1,0.8381092529739108
1,1,0.7019103915525046
0,0,0.0036614269975473197
0,0,0.007309731897036369
0,0,0.00613082351688562
0,1,0.7470520706724924
0,0,0.035327657052986086
0,0,0.0009419081818371232
0,0,0.03135067791350678
0,0,0.0006934908559677596
1,1,0.990513590034229
1,1,0.9589927965918753
0,0,0.009654052269458436
0,0,0.03585928183621249
1,1,0.7524935717972843
1,1,0.9966312573274199
0,0,0.03854137382200299
0,0,0.23115949003660602
1,1,0.91822591509347
0,0,0.051755886899250356
0,0,0.26559434497335666
0,0,0.0006370245092072914
0,0,0.024615429504297667
0,0,0.005579735690865034
0,1,0.5425693196427931
0,0,0.0001523959290948002
0,0,0.21745121875021453
0,0,0.010427440978949107
0,0,0.007323473684976221
1,1,0.9470500565253163
1,1,0.9885728355323347
0,0,0.0871209515522449
1,0,0.46195859852697435
0,0,0.03891231232767634
0,0,0.024369404606274597
0,0,0.02964810492354113
0,0,0.029199461462780865
0,0,0.02592889958413266
1,1,0.6661037429506743
0,0,0.001169283706374832
0,0,0.09384240741015248
0,0,0.07516825818934325
0,0,0.0096303596036982
1,1,0.9952030434454228
0,0,0.006565854496625369
1,1,0.8462928345929317
0,0,0.0005499823117110717
0,0,0.0021739116139277725
0,0,0.05322368591540758
0,0,0.0012738550333223112
0,0,0.02474917485254356
1,1,0.847420549244898
0,0,0.0202839558999487
1,1,0.6840667381576087
0,1,0.6546663631346381
0,0,0.03720664477052452
0,0,6.448804829991649e-05
0,0,0.14619603330507555
0,0,0.03301126008691875
0,0,0.00047988756608972574
0,0,0.03585928183621249
0,0,0.3202485274418882
0,0,0.0002483438361510023
0,1,0.7231922855914004
0,0,0.00011117857047875051
0,0,0.12951055377605736
0,0,0.11415727425665237
0,1,0.7130493157876403
0,0,0.05726111225184035
0,1,0.6894580792588286
1,1,0.9980958388821217
0,0,0.015560227309150531
0,0,0.049060623275849174
1,1,0.8359226878144929
1,1,0.7509157098463095
0,0,0.06404972719854436
0,0,0.03069883309481562
0,0,0.005023804065156596
1,1,0.6191764764142251
0,0,0.025185053457747488
0,0,0.020603339713809496
0,0,0.0008876072194874466
1,0,0.2703846169554212
0,1,0.725695350401269
0,0,0.0011293107319726027
1,1,0.8207169894242998
1,1,0.7809145590918678
0,0,0.028903227478833282
0,0,0.10371550657752882
0,0,0.04735076350773161
1,1,0.9149634575348994
0,0,0.005175290932222218
0,0,0.13212658549424788
0,0,0.0005652713905662308
0,0,0.37611301253240353
0,0,0.001136163241604694
1,0,0.4249994587675584
0,0,0.007759168362139967
0,0,0.32212563172689596
0,0,0.03379602068135032
1,1,0.9994213500621206
1,1,0.9945088671646772
0,0,0.037313092228110904
1,1,0.8948147804353184
0,0,0.050437199993659136
0,0,0.009999036025934454
1,0,0.4566355372699054
0,1,0.7452845893403424
0,0,0.1092484196893339
0,0,0.001089020815067851
0,0,0.1515856499248327
0,1,0.6437017735527814
0,0,0.008108080418250636
0,0,0.05466892167705607
0,0,0.05051636956833444
1,1,0.9222834602671778
1,0,0.3259652184596916
0,1,0.5967887448135383
0,0,0.0026104112495136163
0,0,0.005173266951117834
0,0,0.01809623563578228
0,0,0.16078101696702563
0,0,0.1092484196893339
1,1,0.8771529417642134
0,0,0.02735556973528423
0,0,0.017942869760096562
0,0,0.12228122466298465
1,1,0.5857823652229962
1,1,0.9958061443039584
0,0,0.18634012200381903
0,1,0.7161539499294761
1,1,0.9988961218864663
0,0,0.30025409370541156
0,0,0.29759732265941613
1,1,0.9581763419240127
0,0,0.4364042732435736
1,1,0.5969781454880331
0,0,0.00285639213547589
1,1,0.9951464207141811
0,0,0.4806236546219154
0,0,0.026964532460349643
0,0,0.0290853213845485
0,0,0.03280035804251706
0,1,0.7168344680108197
1,1,0.8475223629335303
0,0,0.04592420729336428
0,0,0.029890952882398868
