ANIO,region,provincia,distrito,rendimiento_kg_ha,porcentaje_vendido,tipo_conduccion_cultivo,considero_fertilidad_suelo,fuente_agua_riego,sistema_riego,precio_chacra_soles_kg,costo_soles_kg,margen_chacra_soles_kg,produccion_kg,venta_kg,area_cosechada_ha,plantas_cosechadas,densidad_plantas_ha,duracion_cosecha_meses,costo_total_soles,costo_semilla_soles,costo_abono_soles,costo_fertilizantes_soles,costo_plaguicidas_soles,FACTOR_PRODUCTOR,es_outlier_costo_kg,CCDD,CCPP,CCDI,CONGLOMERADO,NSELUA,NSEGM,ID_PROD,UA,valor_venta_soles
2021,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2500.0,0.5,Disperso,No,Manantial/puquio,Gravedad,3.5,0.4,3.1,1000.0,500.0,0.4,200,500.0,2,400.0,0.0,0.0,0.0,400.0,27.8657142857143,0,1.0,1.0,1.0,5494.0,2.0,,,1,1750.0
2021,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,10000.0,0.6666666666666666,Disperso,No,Rio,Gravedad,1.25,0.04,1.21,3000.0,2000.0,0.3,150,500.0,4,120.0,0.0,0.0,120.0,0.0,27.8657142857143,0,1.0,1.0,1.0,5494.0,51.0,,,6,2500.0
2021,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,6000.0,0.0,Disperso,No,Lluvia/secano, ,,0.0833333333333333,,120.0,0.0,0.02,20,1000.0,3,10.0,0.0,10.0,0.0,0.0,27.8657142857143,0,1.0,1.0,1.0,5494.0,56.0,,,7,0.0
2021,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,4513.88888888889,0.9230769230769232,Homogeneo,No,Rio,Gravedad,4.96,0.0923076923076923,4.867692307692308,650.0,600.0,0.144,40,277.77777777777777,4,60.0,0.0,60.0,0.0,0.0,27.8657142857143,0,1.0,1.0,10.0,5525.0,21.0,,,1,2976.0
2021,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,6666.666666666667,0.0,Disperso,No,Rio,Aspersion,,0.1,,20.0,0.0,0.003,2,666.6666666666666,3,2.0,0.0,0.0,0.0,2.0,27.8657142857143,0,1.0,1.0,10.0,5525.0,25.0,,,2,0.0
2021,AMAZONAS,BAGUA,ARAMANGO,10000.0,0.9,Disperso,No,Rio,Gravedad,3.0,0.144,2.856,5000.0,4500.0,0.5,400,800.0,2,720.0,0.0,240.0,320.0,160.0,89.8303571428572,0,1.0,2.0,2.0,5162.0,110.0,,,11,13500.0
2021,AMAZONAS,BONGARA,JUMBILLA,5000.0,0.0,Vergel,No,Lluvia/secano, ,,0.4,,5.0,0.0,0.001,2,2000.0,4,2.0,0.0,1.0,0.0,1.0,27.8657142857143,0,1.0,3.0,1.0,5382.0,52.0,,,8,0.0
2021,AMAZONAS,LUYA,LAMUD,4000.0,0.0,Disperso,No,Lluvia/secano, ,,0.1,,20.0,0.0,0.005,10,2000.0,3,2.0,0.0,2.0,0.0,0.0,27.8657142857143,0,1.0,5.0,1.0,5426.0,70.0,,,9,0.0
2021,AMAZONAS,LUYA,OCALLI,8750.0,0.0,Disperso,No,Lluvia/secano, ,,0.0571428571428571,,350.0,0.0,0.04,17,425.0,2,20.0,0.0,20.0,0.0,0.0,27.8657142857143,0,1.0,5.0,12.0,5439.0,78.0,,,8,0.0
2021,AMAZONAS,LUYA,OCUMAL,2000.0,0.5,Disperso,No,Lluvia/secano, ,1.0,0.2,0.8,100.0,50.0,0.05,5,100.0,3,20.0,0.0,20.0,0.0,0.0,27.8657142857143,0,1.0,5.0,13.0,5450.0,28.0,,,6,50.0
2021,AMAZONAS,LUYA,PISUQUIA,10000.0,0.0,Disperso,No,Rio,Gravedad,,0.16,,500.0,0.0,0.05,50,1000.0,3,80.0,0.0,10.0,50.0,20.0,30.0092307692308,0,1.0,5.0,14.0,5470.0,35.0,,,4,0.0
2021,AMAZONAS,LUYA,PISUQUIA,15000.0,0.0,Disperso,No,Otro,Otro,,0.0666666666666666,,15.0,0.0,0.001,1,1000.0,3,1.0,0.0,1.0,0.0,0.0,30.0092307692308,0,1.0,5.0,14.0,5470.0,70.0,,,7,0.0
2021,AMAZONAS,LUYA,PISUQUIA,4500.0,0.0,Disperso,No,Otro,Otro,,0.0888888888888888,,22.5,0.0,0.005,5,1000.0,3,2.0,0.0,2.0,0.0,0.0,30.0092307692308,0,1.0,5.0,14.0,5470.0,74.0,,,10,0.0
2021,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,8850.0,0.0,Disperso,No,Lluvia/secano, ,,0.0564971751412429,,17.7,0.0,0.002,2,1000.0,2,1.0,0.0,1.0,0.0,0.0,89.8303571428571,0,1.0,6.0,1.0,5551.0,52.0,,,6,0.0
