ANIO,region,provincia,distrito,CCDD,CCPP,CCDI,CONGLOMERADO,NSELUA,UA,costo_semilla,costo_abono,costo_fertilizantes,costo_plaguicidas,factor_cost,produccion_kg,venta_kg,area_cosechada_ha,area_sembrada_ha,plantas_cosechadas,venta_valor_soles,precio_chacra_kg,factor_prod,P204_TIPO,P205_TOT,P206_INI_MES,P206_INI_ANIO,P207_FIN_MES,P207_FIN_ANIO,P208,P211_1,P211_2,P211_3,P211_4,P211_5,P211_8,P212,P213,P214,P215,P221_1,P221_2,P222_1,P222_2,P222_3,P222_4,P222_5,P222_6,P222_7,P219_UM,costo_total,costo_por_kg,FACTOR_PRODUCTOR,rendimiento_kg_ha,densidad_plantas_ha,porcentaje_vendido,costo_abono_kg,costo_fertilizantes_kg,costo_plaguicidas_kg,participacion_fertilizantes,participacion_plaguicidas,duracion_cosecha_meses,es_outlier,P209_MES,P209_ANIO,P223_1,P223_2,P223_3,P223_4,P223_5,P223_6,P223A,P223B_1,P223B_2,P223B_3,P223B_4,P223B_5,P223B_6,P223B_7,P223B_8,NSEGM,ID_PROD
2021,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,01,01,01,05494,00002,1,0.0,0.0,0.0,400.0,27.8657142857143,1000.0,500.0,0.4,0.0,200,1750.0,3.5,27.8657142857143,2,1,5,2021,6,2021,3,0,0,0,0,0,0,3,7,,,0,1,0,0,1,0,0,0,0,KILOGRAMO,400.0,0.4,27.8657142857143,2500.0,500.0,0.5,0.0,0.0,0.4,0.0,1.0,2,0,,,,,,,,,,,,,,,,,,,
2021,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,01,01,01,05494,00051,6,0.0,0.0,120.0,0.0,27.8657142857143,3000.0,2000.0,0.3,0.0,150,2500.0,1.25,27.8657142857143,2,1,2,2021,5,2021,3,1,0,0,0,0,0,2,7,,,0,1,0,0,0,0,0,1,0,SAQUILLO,120.0,0.04,27.8657142857143,10000.0,500.0,0.6666666666666666,0.0,0.04,0.0,1.0,0.0,4,0,,,,,,,,,,,,,,,,,,,
2021,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,01,01,01,05494,00056,7,0.0,10.0,0.0,0.0,27.8657142857143,120.0,0.0,0.02,0.0,20,0.0,,27.8657142857143,2,1,2,2021,4,2021,3,1,0,0,0,0,0,1,,,,,,,,,,,,,UNIDADES,10.0,0.08333333333333333,27.8657142857143,6000.0,1000.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,3,0,,,,,,,,,,,,,,,,,,,
2021,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,01,01,10,05525,00021,1,0.0,60.0,0.0,0.0,27.8657142857143,650.0,600.0,0.144,0.0,40,2976.0,4.96,27.8657142857143,2,1,12,2020,3,2021,1,1,1,0,0,0,0,2,7,,,1,0,0,0,1,0,0,0,0,CIENTOS,60.0,0.09230769230769231,27.8657142857143,4513.88888888889,277.77777777777777,0.9230769230769231,0.09230769230769231,0.0,0.0,0.0,0.0,4,0,,,,,,,,,,,,,,,,,,,
2021,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,01,01,10,05525,00025,2,0.0,0.0,0.0,2.0,27.8657142857143,20.0,0.0,0.003,0.0,2,0.0,,27.8657142857143,2,1,5,2021,7,2021,3,1,1,0,0,0,0,2,4,,,,,,,,,,,,CIENTOS,2.0,0.1,27.8657142857143,6666.666666666667,666.6666666666666,0.0,0.0,0.0,0.1,0.0,1.0,3,0,,,,,,,,,,,,,,,,,,,
2021,AMAZONAS,BAGUA,ARAMANGO,01,02,02,05162,00110,11,0.0,240.0,320.0,160.0,89.8303571428572,5000.0,4500.0,0.5,0.0,400,13500.0,3.0,89.8303571428572,2,1,11,2020,12,2020,3,1,1,0,0,0,0,2,7,,,0,1,0,0,1,0,0,0,0,SACOS,720.0,0.144,89.8303571428572,10000.0,800.0,0.9,0.048,0.064,0.032,0.4444444444444444,0.2222222222222222,2,0,,,,,,,,,,,,,,,,,,,
2021,AMAZONAS,BONGARA,JUMBILLA,01,03,01,05382,00052,8,0.0,1.0,0.0,1.0,27.8657142857143,5.0,0.0,0.001,0.0,2,0.0,,27.8657142857143,2,1,5,2021,8,2021,4,1,0,0,0,0,0,1,,,,,,,,,,,,,UNIDADES,2.0,0.4,27.8657142857143,5000.0,2000.0,0.0,0.2,0.0,0.2,0.0,0.5,4,0,,,,,,,,,,,,,,,,,,,
2021,AMAZONAS,LUYA,LAMUD,01,05,01,05426,00070,9,0.0,2.0,0.0,0.0,27.8657142857143,20.0,0.0,0.005,0.0,10,0.0,,27.8657142857143,2,1,4,2021,6,2021,3,1,0,0,0,0,0,1,,,,,,,,,,,,,KILOGRAMO,2.0,0.1,27.8657142857143,4000.0,2000.0,0.0,0.1,0.0,0.0,0.0,0.0,3,0,,,,,,,,,,,,,,,,,,,
2021,AMAZONAS,LUYA,OCALLI,01,05,12,05439,00078,8,0.0,20.0,0.0,0.0,27.8657142857143,350.0,0.0,0.04,0.0,17,0.0,,27.8657142857143,2,1,10,2020,11,2020,3,1,0,0,0,0,0,1,,,,,,,,,,,,,SACOS,20.0,0.05714285714285714,27.8657142857143,8750.0,425.0,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,2,0,,,,,,,,,,,,,,,,,,,
2021,AMAZONAS,LUYA,OCUMAL,01,05,13,05450,00028,6,0.0,20.0,0.0,0.0,27.8657142857143,100.0,50.0,0.05,0.0,5,50.0,1.0,27.8657142857143,2,1,1,2021,3,2021,3,1,0,0,0,0,0,1,,,,0,1,0,0,1,0,0,1,0,KILOGRAMO,20.0,0.2,27.8657142857143,2000.0,100.0,0.5,0.2,0.0,0.0,0.0,0.0,3,0,,,,,,,,,,,,,,,,,,,
2021,AMAZONAS,LUYA,PISUQUIA,01,05,14,05470,00035,4,0.0,10.0,50.0,20.0,30.0092307692308,500.0,0.0,0.05,0.0,50,0.0,,30.0092307692308,2,1,5,2021,7,2021,3,1,0,0,0,0,0,2,7,,,,,,,,,,,,UNIDADES,80.0,0.16,30.0092307692308,10000.0,1000.0,0.0,0.02,0.1,0.04,0.625,0.25,3,0,,,,,,,,,,,,,,,,,,,
2021,AMAZONAS,LUYA,PISUQUIA,01,05,14,05470,00070,7,0.0,1.0,0.0,0.0,30.0092307692308,15.0,0.0,0.001,0.0,1,0.0,,30.0092307692308,2,1,5,2021,7,2021,3,1,0,0,0,0,0,7,8,,,,,,,,,,,,UNIDADES,1.0,0.06666666666666667,30.0092307692308,15000.0,1000.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,3,0,,,,,,,,,,,,,,,,,,,
2021,AMAZONAS,LUYA,PISUQUIA,01,05,14,05470,00074,10,0.0,2.0,0.0,0.0,30.0092307692308,22.5,0.0,0.005,0.0,5,0.0,,30.0092307692308,2,1,5,2021,7,2021,3,1,0,0,0,0,0,7,8,,,,,,,,,,,,UNIDADES,2.0,0.08888888888888889,30.0092307692308,4500.0,1000.0,0.0,0.08888888888888889,0.0,0.0,0.0,0.0,3,0,,,,,,,,,,,,,,,,,,,
2021,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,01,06,01,05551,00052,6,0.0,1.0,0.0,0.0,89.8303571428571,17.7,0.0,0.002,0.0,2,0.0,,89.8303571428571,2,1,11,2020,12,2020,3,0,0,0,1,0,0,1,,,,,,,,,,,,,UNIDADES,1.0,0.05649717514124294,89.8303571428571,8850.0,1000.0,0.0,0.05649717514124294,0.0,0.0,0.0,0.0,2,0,,,,,,,,,,,,,,,,,,,
2021,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,01,06,01,05551,00095,13,0.0,1.0,0.0,0.0,89.8303571428571,9.299999999999999,0.0,0.001,0.0,1,0.0,,89.8303571428571,2,1,2,2021,3,2021,3,1,0,0,0,0,0,1,,,,,,,,,,,,,UNIDADES,1.0,0.10752688172043012,89.8303571428571,9299.999999999998,1000.0,0.0,0.10752688172043012,0.0,0.0,0.0,0.0,2,0,,,,,,,,,,,,,,,,,,,
2021,AMAZONAS,UTCUBAMBA,LONYA GRANDE,01,07,06,05334,00089,13,0.0,10.0,0.0,0.0,89.8303571428571,525.0,405.0,0.03,0.0,12,2700.0,6.6667,89.8303571428571,2,1,1,2021,4,2021,3,1,0,0,0,0,0,1,,,,0,1,0,0,1,0,0,0,0,UNIDADES,10.0,0.01904761904761905,89.8303571428571,17500.0,400.0,0.7714285714285715,0.01904761904761905,0.0,0.0,0.0,0.0,4,0,,,,,,,,,,,,,,,,,,,
2021,ANCASH,HUARAZ,COCHABAMBA,02,01,02,08727,00044,5,0.0,0.0,650.0,350.0,131.046266233766,6500.0,5775.0,0.45,0.0,300,28875.0,5.0,131.046266233766,2,1,11,2020,2,2021,1,1,1,0,1,0,0,3,7,,,1,0,1,0,1,0,0,0,0,KILOGRAMO,1000.0,0.15384615384615385,131.046266233766,14444.444444444443,666.6666666666666,0.8884615384615384,0.0,0.1,0.05384615384615385,0.65,0.35,4,0,,,,,,,,,,,,,,,,,,,
2021,ANCASH,HUARAZ,COCHABAMBA,02,01,02,08727,00120,10,0.0,0.0,56.0,43.0,131.046266233766,600.0,500.0,0.05,0.0,30,3000.0,6.0,131.046266233766,2,1,10,2020,2,2021,1,1,1,0,1,0,1,3,7,,,1,0,1,0,1,0,0,0,0,KILOGRAMO,99.0,0.165,131.046266233766,12000.0,600.0,0.8333333333333334,0.0,0.09333333333333334,0.07166666666666667,0.5656565656565656,0.43434343434343436,5,0,,,,,,,,,,,,,,,,,,,
2021,ANCASH,HUARAZ,COCHABAMBA,02,01,02,08727,00139,11,0.0,0.0,205.0,190.0,131.046266233766,3500.0,3000.0,0.25,0.0,150,13500.0,4.5,131.046266233766,2,1,10,2020,12,2020,1,1,0,0,1,0,1,3,7,,,1,0,1,0,0,0,0,0,0,KILOGRAMO,395.0,0.11285714285714285,131.046266233766,14000.0,600.0,0.8571428571428571,0.0,0.05857142857142857,0.054285714285714284,0.5189873417721519,0.4810126582278481,3,0,,,,,,,,,,,,,,,,,,,
2021,ANCASH,HUARAZ,INDEPENDENCIA,02,01,05,08809,00001,1,0.0,2.0,0.0,0.0,141.126748251748,50.0,0.0,0.005,0.0,2,0.0,,141.126748251748,2,1,12,2020,3,2021,1,1,0,0,0,0,0,7,8,,,,,,,,,,,,KILOGRAMO,2.0,0.04,141.126748251748,10000.0,400.0,0.0,0.04,0.0,0.0,0.0,0.0,4,0,,,,,,,,,,,,,,,,,,,
2021,ANCASH,HUARAZ,INDEPENDENCIA,02,01,05,08809,00056,8,0.0,1.0,0.0,0.0,141.126748251748,3.0,0.0,0.0003,0.0,1,0.0,,141.126748251748,2,1,1,2021,2,2021,3,1,1,0,0,0,0,2,8,,,,,,,,,,,,KILOGRAMO,1.0,0.3333333333333333,141.126748251748,10000.0,3333.3333333333335,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,2,0,,,,,,,,,,,,,,,,,,,
2021,ANCASH,HUARAZ,INDEPENDENCIA,02,01,05,08809,00070,9,0.0,0.0,2.0,0.0,141.126748251748,35.0,11.0,0.0024,0.0,4,51.0,4.7,141.126748251748,2,1,1,2021,2,2021,1,1,0,0,0,0,0,1,,,,1,0,0,0,0,0,0,1,0,KILOGRAMO,2.0,0.05714285714285714,141.126748251748,14583.333333333334,1666.6666666666667,0.3142857142857143,0.0,0.05714285714285714,0.0,1.0,0.0,2,0,,,,,,,,,,,,,,,,,,,
2021,ANCASH,HUARAZ,JANGAS,02,01,06,08754,00012,2,0.0,10.0,0.0,0.0,141.126748251748,180.0,180.0,0.02,0.0,10,450.0,2.5,141.126748251748,2,1,11,2020,11,2020,1,1,1,0,0,0,0,2,7,,,1,0,1,0,0,0,0,0,0,JABAS,10.0,0.05555555555555555,141.126748251748,9000.0,500.0,1.0,0.05555555555555555,0.0,0.0,0.0,0.0,1,0,,,,,,,,,,,,,,,,,,,
2021,ANCASH,HUARAZ,JANGAS,02,01,06,08754,00025,5,0.0,10.0,0.0,0.0,141.126748251748,40.0,0.0,0.03,0.0,15,0.0,,141.126748251748,2,1,5,2021,6,2021,1,0,1,0,0,0,0,2,7,,,,,,,,,,,,JABAS,10.0,0.25,141.126748251748,1333.3333333333335,500.0,0.0,0.25,0.0,0.0,0.0,0.0,2,0,,,,,,,,,,,,,,,,,,,
2021,ANCASH,HUARAZ,PAMPAS,02,01,09,08883,00001,1,0.0,200.0,800.0,500.0,141.126748251748,3000.0,2800.0,1.3,0.0,200,7000.0,2.5,141.126748251748,2,1,3,2021,4,2021,2,0,1,0,0,0,0,2,7,,,1,0,1,0,0,0,0,0,0,KILOGRAMO,1500.0,0.5,141.126748251748,2307.6923076923076,153.84615384615384,0.9333333333333333,0.06666666666666667,0.26666666666666666,0.16666666666666666,0.5333333333333333,0.3333333333333333,2,0,,,,,,,,,,,,,,,,,,,
2021,ANCASH,HUARAZ,PAMPAS,02,01,09,08883,00004,2,0.0,500.0,500.0,400.0,141.126748251748,3000.0,2250.0,1.1,0.0,80,4500.0,2.0,141.126748251748,2,1,3,2021,4,2021,1,0,1,0,0,0,0,2,7,,,1,0,1,0,0,0,0,0,0,KILOGRAMO,1400.0,0.4666666666666667,141.126748251748,2727.272727272727,72.72727272727272,0.75,0.16666666666666666,0.16666666666666666,0.13333333333333333,0.35714285714285715,0.2857142857142857,2,0,,,,,,,,,,,,,,,,,,,
2021,ANCASH,HUARAZ,PAMPAS,02,01,09,08883,00019,3,0.0,120.0,350.0,200.0,141.126748251748,3000.0,2850.0,0.5,0.0,150,4275.0,1.5,141.126748251748,2,1,3,2021,3,2021,1,0,1,0,0,0,0,2,7,,,1,0,1,0,0,0,0,0,0,KILOGRAMO,670.0,0.22333333333333333,141.126748251748,6000.0,300.0,0.95,0.04,0.11666666666666667,0.06666666666666667,0.5223880597014925,0.29850746268656714,1,0,,,,,,,,,,,,,,,,,,,
2021,ANCASH,HUARAZ,PAMPAS,02,01,09,08883,00021,4,0.0,0.0,500.0,375.0,141.126748251748,1200.0,1100.0,0.4,0.0,60,2200.0,2.0,141.126748251748,2,1,3,2021,3,2021,1,0,1,0,0,0,0,2,7,,,1,0,1,0,0,0,0,0,0,JABAS,875.0,0.7291666666666666,141.126748251748,3000.0,150.0,0.9166666666666666,0.0,0.4166666666666667,0.3125,0.5714285714285714,0.42857142857142855,1,1,,,,,,,,,,,,,,,,,,,
2021,ANCASH,HUARAZ,PAMPAS,02,01,09,08883,00027,5,0.0,0.0,8000.0,6000.0,141.126748251748,23500.5,23100.0,18.0,0.0,560,46200.0,2.0,141.126748251748,2,1,3,2021,4,2021,1,0,1,0,0,0,0,2,7,,,1,0,1,0,0,0,0,0,0,KILOGRAMO,14000.0,0.5957320057020064,141.126748251748,1305.5833333333333,31.11111111111111,0.9829578094083105,0.0,0.34041828897257503,0.25531371672943126,0.5714285714285714,0.42857142857142855,2,0,,,,,,,,,,,,,,,,,,,
